LOC,DAY,TEMP
울산,202301,4.2
울산,202301,1.4
울산,202301,0.9
울산,202301,1.6
울산,202301,3.4
울산,202301,4.1
울산,202301,5.3
울산,202301,4.8
울산,202301,7.6
울산,202301,5.8
울산,202301,7.9
울산,202301,10.1
울산,202301,13.8
울산,202301,9.3
울산,202301,4.8
울산,202301,0.6
울산,202301,0.3
울산,202301,1.5
울산,202301,1.6
울산,202301,2
울산,202301,-1.2
울산,202301,2.1
울산,202301,4.6
울산,202301,-7
울산,202301,-7.5
울산,202301,-1.6
울산,202301,-2.3
울산,202301,-3.6
울산,202301,0.9
울산,202301,1.3
울산,202301,3.8
울산,202302,7.5
울산,202302,2.5
울산,202302,3.7
울산,202302,2
울산,202302,3.7
울산,202302,6.1
울산,202302,6.5
울산,202302,6
울산,202302,5.2
울산,202302,5
울산,202302,5.7
울산,202302,6.9
울산,202302,6.2
울산,202302,4
울산,202302,2.2
울산,202302,4.4
울산,202302,5.7
울산,202302,7.2
울산,202302,8.2
울산,202302,2.9
울산,202302,0.7
울산,202302,4.3
울산,202302,8.2
울산,202302,7
울산,202302,3.3
울산,202302,4.2
울산,202302,6.9
울산,202302,9.4
울산,202303,9.3
울산,202303,4.2
울산,202303,7.2
울산,202303,8.8
울산,202303,8.5
울산,202303,11.4
울산,202303,13.6
울산,202303,15.2
울산,202303,15.2
울산,202303,13.3
울산,202303,16.1
울산,202303,10.4
울산,202303,4.7
울산,202303,10.2
울산,202303,14.4
울산,202303,10.7
울산,202303,8.6
울산,202303,9.6
울산,202303,10.4
울산,202303,12.2
울산,202303,14.3
울산,202303,16
울산,202303,14.1
울산,202303,11.6
울산,202303,9.9
울산,202303,10.7
울산,202303,9.6
울산,202303,11.5
울산,202303,12.3
울산,202303,14.6
울산,202303,15.8
울산,202304,13.7
울산,202304,13.4
울산,202304,13.1
울산,202304,14.6
울산,202304,14.9
울산,202304,14.6
울산,202304,12.9
울산,202304,10.3
울산,202304,13.5
울산,202304,14.4
울산,202304,18.1
울산,202304,14
울산,202304,14.7
울산,202304,14.6
울산,202304,12
울산,202304,10.1
울산,202304,12.7
울산,202304,16.2
울산,202304,17.1
울산,202304,19.6
울산,202304,15.1
울산,202304,13
울산,202304,12.3
울산,202304,12.1
울산,202304,9.6
울산,202304,13.4
울산,202304,13.6
울산,202304,16.7
울산,202304,16.5
울산,202304,15.9
울산,202305,15.6
울산,202305,15.4
울산,202305,17.1
울산,202305,17.9
울산,202305,18.2
울산,202305,13.1
울산,202305,11.8
울산,202305,13.5
울산,202305,16.2
울산,202305,18.1
울산,202305,15.5
울산,202305,17.4
울산,202305,14.6
울산,202305,17.3
울산,202305,19.5
울산,202305,22.7
울산,202305,23.5
울산,202305,17.7
울산,202305,16.9
울산,202305,17.6
울산,202305,21.7
울산,202305,16.7
울산,202305,17.4
울산,202305,17.4
울산,202305,18.1
울산,202305,19.9
울산,202305,21.8
울산,202305,21.8
울산,202305,20
울산,202305,18.1
울산,202305,18.3
울산,202306,16.3
울산,202306,21.7
울산,202306,20.3
울산,202306,22.4
울산,202306,22.7
울산,202306,20.6
울산,202306,22.8
울산,202306,21.3
울산,202306,21.8
울산,202306,22.2
울산,202306,21.8
울산,202306,21.6
울산,202306,22.5
울산,202306,20.4
울산,202306,19.5
울산,202306,23.4
울산,202306,25.2
울산,202306,25.5
울산,202306,23.1
울산,202306,21.4
울산,202306,20.8
울산,202306,22.7
울산,202306,22.2
울산,202306,21.4
울산,202306,22.2
울산,202306,24.1
울산,202306,26.6
울산,202306,23.4
울산,202306,25.5
울산,202306,23.1
울산,202307,23.1
울산,202307,25.9
울산,202307,24.7
울산,202307,24.1
울산,202307,27.5
울산,202307,26.9
울산,202307,21.4
울산,202307,21.8
울산,202307,24.7
울산,202307,26.8
울산,202307,24.2
울산,202307,26.3
울산,202307,26
울산,202307,25.8
울산,202307,27.3
울산,202307,24.1
울산,202307,27.2
울산,202307,24.4
울산,202307,23.7
울산,202307,24.6
울산,202307,24.5
울산,202307,24.7
울산,202307,26.7
울산,202307,27.1
울산,202307,27.4
울산,202307,27.2
울산,202307,28.1
울산,202307,28.7
울산,202307,28.5
울산,202307,28.2
울산,202307,28.1
울산,202308,28.2
울산,202308,28.3
울산,202308,29.2
울산,202308,29
울산,202308,29.1
울산,202308,29
울산,202308,27.7
울산,202308,26.3
울산,202308,24.1
울산,202308,24.9
울산,202308,26.7
울산,202308,26
울산,202308,25.4
울산,202308,26
울산,202308,25.5
울산,202308,25
울산,202308,24.6
울산,202308,24.7
울산,202308,26
울산,202308,27.2
울산,202308,27.8
울산,202308,28.1
울산,202308,27.8
울산,202308,25
울산,202308,26.2
울산,202308,25.8
울산,202308,25.5
울산,202308,25.1
울산,202308,26.3
울산,202308,26.5
울산,202308,25.2
양산시,202301,2.9
양산시,202301,3.5
양산시,202301,2.3
양산시,202301,2.5
양산시,202301,2.5
양산시,202301,2.9
양산시,202301,4.9
양산시,202301,3.5
양산시,202301,6.3
양산시,202301,5
양산시,202301,5.3
양산시,202301,8.2
양산시,202301,14.4
양산시,202301,10.8
양산시,202301,6.8
양산시,202301,1.9
양산시,202301,1.5
양산시,202301,2.6
양산시,202301,1.9
양산시,202301,2.6
양산시,202301,-0.5
양산시,202301,2.5
양산시,202301,5
양산시,202301,-4.8
양산시,202301,-5.6
양산시,202301,-1.2
양산시,202301,-0.1
양산시,202301,-1.8
양산시,202301,1
양산시,202301,2.2
양산시,202301,2.2
양산시,202302,7.2
양산시,202302,3.6
양산시,202302,3.9
양산시,202302,2.8
양산시,202302,2.8
양산시,202302,4.7
양산시,202302,7.4
양산시,202302,6.7
양산시,202302,6.6
양산시,202302,5.8
양산시,202302,5.7
양산시,202302,6.9
양산시,202302,7.8
양산시,202302,6.3
양산시,202302,4.4
양산시,202302,5.7
양산시,202302,5.8
양산시,202302,8.3
양산시,202302,10
양산시,202302,5.1
양산시,202302,3
양산시,202302,5.5
양산시,202302,8.9
양산시,202302,9.4
양산시,202302,5.2
양산시,202302,4.7
양산시,202302,5.9
양산시,202302,8.5
양산시,202303,9.4
양산시,202303,5.6
양산시,202303,7.2
양산시,202303,9.2
양산시,202303,8.8
양산시,202303,9.9
양산시,202303,11.3
양산시,202303,12.8
양산시,202303,14.3
양산시,202303,14.5
양산시,202303,15
양산시,202303,11.8
양산시,202303,6.4
양산시,202303,9.4
양산시,202303,12.7
양산시,202303,13
양산시,202303,10.9
양산시,202303,11.4
양산시,202303,10.8
양산시,202303,11.6
양산시,202303,15.6
양산시,202303,17.9
양산시,202303,15.9
양산시,202303,13.5
양산시,202303,12.1
양산시,202303,12.4
양산시,202303,11.5
양산시,202303,11.5
양산시,202303,12.6
양산시,202303,14.1
양산시,202303,17.2
양산시,202304,16.2
양산시,202304,15.9
양산시,202304,15.5
양산시,202304,16.6
양산시,202304,16.4
양산시,202304,14.4
양산시,202304,14.4
양산시,202304,11.8
양산시,202304,12.9
양산시,202304,14.1
양산시,202304,18
양산시,202304,15.5
양산시,202304,15.3
양산시,202304,14
양산시,202304,13.3
양산시,202304,10.9
양산시,202304,12.9
양산시,202304,17
양산시,202304,18.4
양산시,202304,21
양산시,202304,17.5
양산시,202304,15
양산시,202304,14.4
양산시,202304,14
양산시,202304,11.1
양산시,202304,14.3
양산시,202304,14.5
양산시,202304,16.9
양산시,202304,16.9
양산시,202304,15.9
양산시,202305,16.4
양산시,202305,16.2
양산시,202305,17.5
양산시,202305,18.8
양산시,202305,18.7
양산시,202305,15.1
양산시,202305,13.1
양산시,202305,14.6
양산시,202305,16.3
양산시,202305,18.6
양산시,202305,19
양산시,202305,18
양산시,202305,15.4
양산시,202305,17.9
양산시,202305,19.5
양산시,202305,20.9
양산시,202305,21.9
양산시,202305,18.9
양산시,202305,18.6
양산시,202305,19.9
양산시,202305,21.9
양산시,202305,17.8
양산시,202305,18.4
양산시,202305,19.1
양산시,202305,19.8
양산시,202305,20.8
양산시,202305,22.8
양산시,202305,21.5
양산시,202305,21.2
양산시,202305,20.7
양산시,202305,21.6
양산시,202306,17.3
양산시,202306,24.5
양산시,202306,22.1
양산시,202306,22.3
양산시,202306,22.4
양산시,202306,21.8
양산시,202306,22.8
양산시,202306,22.7
양산시,202306,22.8
양산시,202306,24
양산시,202306,23.4
양산시,202306,23.8
양산시,202306,24.2
양산시,202306,23
양산시,202306,21.8
양산시,202306,24.8
양산시,202306,25.4
양산시,202306,26.4
양산시,202306,26.1
양산시,202306,24.4
양산시,202306,22
양산시,202306,24.6
양산시,202306,24.3
양산시,202306,24.2
양산시,202306,23.5
양산시,202306,24.4
양산시,202306,25.7
양산시,202306,24.2
양산시,202306,25.6
양산시,202306,24.9
양산시,202307,25.4
양산시,202307,26.3
양산시,202307,27.3
양산시,202307,25.4
양산시,202307,27.6
양산시,202307,26.5
양산시,202307,22.9
양산시,202307,23.1
양산시,202307,25.9
양산시,202307,27.6
양산시,202307,25.7
양산시,202307,26.4
양산시,202307,26.5
양산시,202307,25.9
양산시,202307,26.6
양산시,202307,24.3
양산시,202307,27.1
양산시,202307,25.6
양산시,202307,25.8
양산시,202307,26.2
양산시,202307,27.1
양산시,202307,25.9
양산시,202307,27.4
양산시,202307,26.9
양산시,202307,27.4
양산시,202307,28.7
양산시,202307,29.5
양산시,202307,29.9
양산시,202307,30.3
양산시,202307,29.5
양산시,202307,29.3
양산시,202308,29.9
양산시,202308,29.9
양산시,202308,31
양산시,202308,30.8
양산시,202308,31
양산시,202308,31.3
양산시,202308,30.8
양산시,202308,29.1
양산시,202308,25.4
양산시,202308,26
양산시,202308,27.4
양산시,202308,27.9
양산시,202308,27.8
양산시,202308,28.5
양산시,202308,28.7
양산시,202308,27.3
양산시,202308,26.8
양산시,202308,26.8
양산시,202308,27.3
양산시,202308,29.5
양산시,202308,29.2
양산시,202308,29
양산시,202308,29.3
양산시,202308,26.3
양산시,202308,27.7
양산시,202308,27.6
양산시,202308,27.9
양산시,202308,27.3
양산시,202308,27.3
양산시,202308,27.1
양산시,202308,27.3
